Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name,clean_text
20771561,Electrical,Street Light Not Working,2025-06-19 08:19:00.000000000,Hemmigepura,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE,street light working
20771560,Electrical,Street Light Not Working,2025-06-19 08:19:00.000000000,Visvesvarapuram,Registered,1st Assignment Based on Ward Mapping,MURTHY/AE,street light working
20771559,Electrical,Street Light Not Working,2025-06-19 08:18:00.000000000,Doddanekkundi,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE,street light working
20771558,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 08:18:00.000000000,Hemmigepura,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 198/Marshal,garbage dump
20771557,Electrical,Street Light Not Working,2025-06-19 08:17:00.000000000,J.P.Nagar,Registered,1st Assignment Based on Ward Mapping,Umesh/AE,street light working
20771556,Electrical,Street Light Not Working,2025-06-19 08:13:00.000000000,Basavanagudi,Registered,1st Assignment Based on Ward Mapping,Jnanesh/JE,street light working
20771555,Forest,obstructions Branches / Trees.,2025-06-19 08:12:00.000000000,Attiguppe,Registered,1st Assignment Based on Ward Mapping,Shivanna T.C/DYRFO,obstruction branch tree
20771554,Electrical,Street Light Not Working,2025-06-19 08:12:00.000000000,Horamavu,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE,street light working
20771553,Electrical,Street Light Not Working,2025-06-19 08:08:00.000000000,Hoodi,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE,street light working
20771552,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,2025-06-19 08:08:00.000000000,S.K.Garden,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 61/Marshal,garbage dumping vacant site
20771551,Electrical,Street Light Not Working,2025-06-19 08:08:00.000000000,Jakkur,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771550,Electrical,Requirement For New Street Lights,2025-06-19 08:07:00.000000000,Hemmigepura,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE,requirement new street light
20771549,Electrical,Street Light Not Working,2025-06-19 08:07:00.000000000,Jakkur,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771548,Electrical,Street Light Not Working,2025-06-19 08:05:00.000000000,Jnanabharathi Ward,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE,street light working
20771547,Electrical,Street Light Not Working,2025-06-19 08:04:00.000000000,Shettyhalli,Registered,1st Assignment Based on Ward Mapping,H S Manjappa/AE,street light working
20771546,Electrical,Street Light Not Working,2025-06-19 08:03:00.000000000,Varthur,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE,street light working
20771545,Electrical,Street Light Not Working,2025-06-19 08:02:00.000000000,Kammanahalli,Registered,1st Assignment Based on Ward Mapping,Vinay Kumar/AE,street light working
20771544,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 07:59:00.000000000,Sunkenahalli,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 142/Marshal,garbage dump
20771543,Electrical,Street Light Not Working,2025-06-19 07:59:00.000000000,Yelachenahalli,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE,street light working
20771542,Electrical,Street Light Not Working,2025-06-19 07:59:00.000000000,Gottigere,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE,street light working
20771541,veterinary,Animal Rescue - Not well - Requires attention,2025-06-19 07:58:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Uday Kulkarni/VI,animal rescue well requires attention
20771540,veterinary,Fatally injured - Needs immediate attention,2025-06-19 07:57:00.000000000,K.R.Puram,Registered,1st Assignment Based on Ward Mapping,Smt Jahanar Ameer/VI,fatally injured need immediate attention
20771539,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2025-06-19 07:56:00.000000000,Ramamurthy Nagar,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 26/Marshal,garbage vehicle arrived
20771538,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 07:53:00.000000000,Dodda Bidarkallu,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 40/Marshal,garbage dump
20771537,Electrical,Street Light Not Working,2025-06-19 07:53:00.000000000,Kumaraswamy Layout,Registered,1st Assignment Based on Ward Mapping,Umesh/AE,street light working
20771536,Electrical,Street Light Not Working,2025-06-19 07:51:00.000000000,Yelahanka old Satellite Town,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771535,Electrical,Street Light Not Working,2025-06-19 07:51:00.000000000,Vijay Nagar,Registered,1st Assignment Based on Ward Mapping,MURTHY/AE,street light working
20771534,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 07:50:00.000000000,Hoysala Nagar,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 80/Marshal,garbage dump
20771533,Electrical,Street Light Not Working,2025-06-19 07:45:00.000000000,Cottonpet,Registered,1st Assignment Based on Ward Mapping,syed zameer/JE,street light working
20771532,Electrical,Street Light Not Working,2025-06-19 07:44:00.000000000,Vasanth Nagar,Registered,1st Assignment Based on Ward Mapping,Sandeep Singh/AE,street light working
